name,id,accuracy,pp,power,priority,type,generation,short_descripton,damage_class
Écras Face,1,100.0,35,40.0,0,Normal,Generation I,Inflige des dégâts normaux sans effet supplémentaire.,Physique
Coup Karaté,2,100.0,25,50.0,0,Combat,Generation I,A une chance accrue de coup critique.,Physique
Torgnoles,3,85.0,10,15.0,0,Normal,Generation I,Frappe 2 à 5 fois en un tour.,Physique
Poing Comète,4,85.0,15,18.0,0,Normal,Generation I,Frappe 2 à 5 fois en un tour.,Physique
Ultra-Poing,5,85.0,20,80.0,0,Normal,Generation I,Inflige des dégâts normaux sans effet supplémentaire.,Physique
Pay Day,6,100.0,20,40.0,0,Normal,Generation I,Scatters money on the ground worth five times the user's level.,Physique
Fire Punch,7,100.0,15,75.0,0,Feu,Generation I,Has a $effect_chance% chance to burn the target.,Physique
Ice Punch,8,100.0,15,75.0,0,Glace,Generation I,Has a $effect_chance% chance to freeze the target.,Physique
Thunder Punch,9,100.0,15,75.0,0,Électrik,Generation I,Has a $effect_chance% chance to paralyze the target.,Physique
Scratch,10,100.0,35,40.0,0,Normal,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Vice Grip,11,100.0,30,55.0,0,Normal,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Guillotine,12,30.0,5,,0,Normal,Generation I,Causes a one-hit KO.,Physique
Razor Wind,13,100.0,10,80.0,0,Normal,Generation I,Requires a turn to charge before attacking.,Spécial
Swords Dance,14,,20,,0,Normal,Generation I,Raises the user's Attack by two stages.,Statut
Cut,15,95.0,30,50.0,0,Normal,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Gust,16,100.0,35,40.0,0,Vol,Generation I,Inflige des dégâts normaux and can hit Pokémon in the air.,Spécial
Wing Attack,17,100.0,35,60.0,0,Vol,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Whirlwind,18,,20,,-6,Normal,Generation I,Immediately ends wild battles.  Forces trainers to switch Pokémon.,Statut
Fly,19,95.0,15,90.0,0,Vol,Generation I,"User flies high into the air, dodging all attacks, and hits next turn.",Physique
Bind,20,85.0,20,15.0,0,Normal,Generation I,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Physique
Slam,21,75.0,20,80.0,0,Normal,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Vine Whip,22,100.0,25,45.0,0,Plante,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Stomp,23,100.0,20,65.0,0,Normal,Generation I,Has a $effect_chance% chance to make the target flinch.,Physique
Double Kick,24,100.0,30,30.0,0,Combat,Generation I,Hits twice in one turn.,Physique
Mega Kick,25,75.0,5,120.0,0,Normal,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Jump Kick,26,95.0,10,100.0,0,Combat,Generation I,"If the user misses, it takes half the damage it would have inflicted in recoil.",Physique
Rolling Kick,27,85.0,15,60.0,0,Combat,Generation I,Has a $effect_chance% chance to make the target flinch.,Physique
Sand Attack,28,100.0,15,,0,Sol,Generation I,Lowers the target's accuracy by one stage.,Statut
Headbutt,29,100.0,15,70.0,0,Normal,Generation I,Has a $effect_chance% chance to make the target flinch.,Physique
Horn Attack,30,100.0,25,65.0,0,Normal,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Fury Attack,31,85.0,20,15.0,0,Normal,Generation I,Frappe 2 à 5 fois en un tour.,Physique
Horn Drill,32,30.0,5,,0,Normal,Generation I,Causes a one-hit KO.,Physique
Tackle,33,100.0,35,40.0,0,Normal,Generation I,Inflige des dégâts normaux with no additional effect.,Physique
Body Slam,34,100.0,15,85.0,0,Normal,Generation I,Has a $effect_chance% chance to paralyze the target.,Physique
Wrap,35,90.0,20,15.0,0,Normal,Generation I,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Physique
Take Down,36,85.0,20,90.0,0,Normal,Generation I,User receives 1/4 the damage it inflicts in recoil.,Physique
Thrash,37,100.0,10,120.0,0,Normal,Generation I,"Hits every turn for 2-3 turns, then confuses the user.",Physique
Double Edge,38,100.0,15,120.0,0,Normal,Generation I,User receives 1/3 the damage inflicted in recoil.,Physique
Tail Whip,39,100.0,30,,0,Normal,Generation I,Lowers the target's Defense by one stage.,Statut
Poison Sting,40,100.0,35,15.0,0,Poison,Generation I,Has a $effect_chance% chance to poison the target.,Physique
Twineedle,41,100.0,20,25.0,0,Insecte,Generation I,Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,Physique
Pin Missile,42,95.0,20,25.0,0,Insecte,Generation I,Frappe 2 à 5 fois en un tour.,Physique
Leer,43,100.0,30,,0,Normal,Generation I,Lowers the target's Defense by one stage.,Statut
Bite,44,100.0,25,60.0,0,Ténèbres,Generation I,Has a $effect_chance% chance to make the target flinch.,Physique
Growl,45,100.0,40,,0,Normal,Generation I,Lowers the target's Attack by one stage.,Statut
Roar,46,,20,,-6,Normal,Generation I,Immediately ends wild battles.  Forces trainers to switch Pokémon.,Statut
Sing,47,55.0,15,,0,Normal,Generation I,Puts the target to sleep.,Statut
