#,Nom,Type 1,Type 2,Total,PV,Attaque,Défense,Att. Spé,Déf. Spé,Vitesse,Génération,Légendaire
1,Bulbizarre,Plante,Poison,318,45,49,49,65,65,45,1,False
2,Herbizarre,Plante,Poison,405,60,62,63,80,80,60,1,False
3,Florizarre,Plante,Poison,525,80,82,83,100,100,80,1,False
3,FlorizarreMéga-Florizarre,Plante,Poison,625,80,100,123,122,120,80,1,False
4,Salamèche,Feu,,309,39,52,43,60,50,65,1,False
5,Reptincel,Feu,,405,58,64,58,80,65,80,1,False
6,Dracaufeu,Feu,Vol,534,78,84,78,109,85,100,1,False
6,DracaufeuMéga-Dracaufeu X,Feu,Dragon,634,78,130,111,130,85,100,1,False
6,DracaufeuMéga-Dracaufeu Y,Feu,Vol,634,78,104,78,159,115,100,1,False
7,Carapuce,Eau,,314,44,48,65,50,64,43,1,False
8,Carabaffe,Eau,,405,59,63,80,65,80,58,1,False
9,Tortank,Eau,,530,79,83,100,85,105,78,1,False
9,TortankMéga-Tortank,Eau,,630,79,103,120,135,115,78,1,False
10,Chenipan,Insecte,,195,45,30,35,20,20,45,1,False
11,Chrysacier,Insecte,,205,50,20,55,25,25,30,1,False
12,Papilusion,Insecte,Vol,395,60,45,50,90,80,70,1,False
13,Aspicot,Insecte,Poison,195,40,35,30,20,20,50,1,False
14,Coconfort,Insecte,Poison,205,45,25,50,25,25,35,1,False
15,Dardargnan,Insecte,Poison,395,65,90,40,45,80,75,1,False
15,DardargnanMéga-Dardargnan,Insecte,Poison,495,65,150,40,15,80,145,1,False
16,Roucool,Normal,Vol,251,40,45,40,35,35,56,1,False
17,Roucoups,Normal,Vol,349,63,60,55,50,50,71,1,False
18,Roucarnage,Normal,Vol,479,83,80,75,70,70,101,1,False
18,RoucarnageMéga-Roucarnage,Normal,Vol,579,83,80,80,135,80,121,1,False
19,Rattata,Normal,,253,30,56,35,25,35,72,1,False
20,Rattatac,Normal,,413,55,81,60,50,70,97,1,False
21,Piafabec,Normal,Vol,262,40,60,30,31,31,70,1,False
22,Rapasdepic,Normal,Vol,442,65,90,65,61,61,100,1,False
23,Abo,Poison,,288,35,60,44,40,54,55,1,False
24,Arbok,Poison,,438,60,85,69,65,79,80,1,False
25,Pikachu,Électrik,,320,35,55,40,50,50,90,1,False
26,Raichu,Électrik,,485,60,90,55,90,80,110,1,False
27,Sabelette,Sol,,300,50,75,85,20,30,40,1,False
28,Sablaireau,Sol,,450,75,100,110,45,55,65,1,False
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False
31,Nidoqueen,Poison,Sol,505,90,92,87,75,85,76,1,False
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False
34,Nidoking,Poison,Sol,505,81,102,77,85,75,85,1,False
35,Mélofée,Fée,,323,70,45,48,60,65,35,1,False
36,Mélodelfe,Fée,,483,95,70,73,95,90,60,1,False
37,Goupix,Feu,,299,38,41,40,50,65,65,1,False
38,Feunard,Feu,,505,73,76,75,81,100,100,1,False
39,Rondoudou,Normal,Fée,270,115,45,20,45,25,20,1,False
40,Grodoudou,Normal,Fée,435,140,70,45,85,50,45,1,False
41,Nosferapti,Poison,Vol,245,40,45,35,30,40,55,1,False
42,Nosferalto,Poison,Vol,455,75,80,70,65,75,90,1,False
43,Mystherbe,Plante,Poison,320,45,50,55,75,65,30,1,False
44,Ortide,Plante,Poison,395,60,65,70,85,75,40,1,False
45,Rafflesia,Plante,Poison,490,75,80,85,110,90,50,1,False
46,Paras,Insecte,Plante,285,35,70,55,45,55,25,1,False
47,Parasect,Insecte,Plante,405,60,95,80,60,80,30,1,False
48,Mimitoss,Insecte,Poison,305,60,55,50,40,55,45,1,False
49,Aéromite,Insecte,Poison,450,70,65,60,90,75,90,1,False
50,Taupiqueur,Sol,,265,10,55,25,35,45,95,1,False
51,Triopikeur,Sol,,405,35,80,50,50,70,120,1,False
52,Miaouss,Normal,,290,40,45,35,40,40,90,1,False
53,Persian,Normal,,440,65,70,60,65,65,115,1,False
54,Psykokwak,Eau,,320,50,52,48,65,50,55,1,False
55,Akwakwak,Eau,,500,80,82,78,95,80,85,1,False
56,Férosinge,Combat,,305,40,80,35,35,45,70,1,False
57,Colossinge,Combat,,455,65,105,60,60,70,95,1,False
58,Caninos,Feu,,350,55,70,45,70,50,60,1,False
59,Arcanin,Feu,,555,90,110,80,100,80,95,1,False
60,Ptitard,Eau,,300,40,50,40,40,40,90,1,False
61,Têtarte,Eau,,385,65,65,65,50,50,90,1,False
62,Tartard,Eau,Combat,510,90,95,95,70,90,70,1,False
63,Abra,Psy,,310,25,20,15,105,55,90,1,False
64,Kadabra,Psy,,400,40,35,30,120,70,105,1,False
65,Alakazam,Psy,,500,55,50,45,135,95,120,1,False
65,AlakazamMéga-Alakazam,Psy,,590,55,50,65,175,95,150,1,False
66,Machoc,Combat,,305,70,80,50,35,35,35,1,False
67,Machopeur,Combat,,405,80,100,70,50,60,45,1,False
68,Mackogneur,Combat,,505,90,130,80,65,85,55,1,False
69,Chétiflor,Plante,Poison,300,50,75,35,70,30,40,1,False
70,Boustiflor,Plante,Poison,390,65,90,50,85,45,55,1,False
71,Empiflor,Plante,Poison,490,80,105,65,100,70,70,1,False
72,Tentacool,Eau,Poison,335,40,40,35,50,100,70,1,False
73,Tentacruel,Eau,Poison,515,80,70,65,80,120,100,1,False
74,Racaillou,Roche,Sol,300,40,80,100,30,30,20,1,False
75,Gravalanch,Roche,Sol,390,55,95,115,45,45,35,1,False
76,Grolem,Roche,Sol,495,80,120,130,55,65,45,1,False
77,Ponyta,Feu,,410,50,85,55,65,65,90,1,False
78,Galopa,Feu,,500,65,100,70,80,80,105,1,False
79,Ramoloss,Eau,Psy,315,90,65,65,40,40,15,1,False
80,Flagadoss,Eau,Psy,490,95,75,110,100,80,30,1,False
80,FlagadossMéga-Flagadoss,Eau,Psy,590,95,75,180,130,80,30,1,False
81,Magnéti,Électrik,Acier,325,25,35,70,95,55,45,1,False
82,Magnéton,Électrik,Acier,465,50,60,95,120,70,70,1,False
83,Canarticho,Normal,Vol,352,52,65,55,58,62,60,1,False
84,Doduo,Normal,Vol,310,35,85,45,35,35,75,1,False
85,Dodrio,Normal,Vol,460,60,110,70,60,60,100,1,False
86,Otaria,Eau,,325,65,45,55,45,70,45,1,False
87,Lamantine,Eau,Glace,475,90,70,80,70,95,70,1,False
88,Tadmorv,Poison,,325,80,80,50,40,50,25,1,False
89,Grotadmorv,Poison,,500,105,105,75,65,100,50,1,False
90,Kokiyas,Eau,,305,30,65,100,45,25,40,1,False
91,Crustabri,Eau,Glace,525,50,95,180,85,45,70,1,False
